197.231.128.0 197.231.135.255 GM  
197.231.136.0 197.231.143.255 GA  
197.231.144.0 197.231.151.255 ZA  
197.231.152.0 197.231.159.255 LR  
197.231.160.0 197.231.175.255 ZA  
197.231.176.0 197.231.183.255 KE  
197.231.184.0 197.231.191.255 MU  
197.231.192.0 197.231.195.255 BW  
197.231.196.0 197.231.199.255 ZA  
197.231.200.0 197.231.203.255 SO  
197.231.204.0 197.231.207.255 GM  
197.231.208.0 197.231.211.255 SC  
197.231.212.0 197.231.215.255 ZW  
197.231.216.0 197.231.219.255 MZ  
197.231.220.0 197.231.223.255 LR  
197.231.228.0 197.231.231.255 LY  
197.231.232.0 197.231.235.255 ZA  
197.231.236.0 197.231.239.255 SS  
197.231.240.0 197.231.243.255 BJ  
197.231.244.0 197.231.247.255 ZM  
197.231.248.0 197.231.251.255 BI  
197.231.252.0 197.231.255.255 CD  
197.232.0.0 197.232.255.255 KE  
197.233.0.0 197.233.255.255 NA  
197.234.0.0 197.234.15.255 SC  
197.234.16.0 197.234.31.255 ZA  
197.234.32.0 197.234.63.255 NG  
197.234.64.0 197.234.127.255 NA  
197.234.128.0 197.234.207.255 ZA  
197.234.208.0 197.234.215.255 BW  
197.234.216.0 197.234.223.255 BJ  
197.234.228.0 197.234.231.255 NG  
197.234.232.0 197.234.235.255 ZA  
197.234.236.0 197.234.239.255 KE  
197.234.240.0 197.234.243.255 ZA  
197.234.244.0 197.234.247.255 RW  
197.234.248.0 197.234.251.255 LY  
197.234.252.0 197.234.255.255 ZA  
197.235.0.0 197.235.255.255 MZ  
197.236.0.0 197.236.255.255 ZA  
197.237.0.0 197.237.255.255 KE  
197.238.0.0 197.238.255.255 ZA  
197.239.0.0 197.239.63.255 UG  
197.239.64.0 197.239.127.255 BF  
197.239.128.0 197.239.191.255 ZA  
197.239.192.0 197.239.207.255 KE  
197.239.208.0 197.239.223.255 MU  
197.239.224.0 197.239.231.255 KE  
197.239.232.0 197.239.255.255 MU  
197.240.0.0 197.240.255.255 NG  
197.241.0.0 197.241.127.255 DJ  
197.241.128.0 197.241.255.255 AO  
197.242.0.0 197.242.31.255 GA  
197.242.32.0 197.242.55.255 ZA  
197.242.56.0 197.242.56.7 KE  
197.242.56.8 197.242.95.255 ZA  
197.242.96.0 197.242.127.255 NG  
197.242.128.0 197.242.143.255 GM  
197.242.144.0 197.242.159.255 ZA  
197.242.160.0 197.242.175.255 MZ  
197.242.176.0 197.242.183.255 CF  
197.242.184.0 197.242.191.255 MU  
197.242.200.0 197.242.207.255 ZA  
197.242.208.0 197.242.223.255 KE  
197.242.224.0 197.242.239.255 CI  
197.242.240.0 197.242.255.255 NG  
197.243.0.0 197.243.127.255 RW  
197.243.128.0 197.243.255.255 NA  
197.244.0.0 197.244.255.255 NG  
197.245.0.0 197.245.255.255 ZA  
197.246.0.0 197.246.255.255 EG  
197.247.0.0 197.247.255.255 MA  
197.248.0.0 197.248.255.255 KE  
197.249.0.0 197.249.255.255 MZ  
197.250.0.0 197.250.255.255 TZ  
197.251.0.0 197.251.127.255 SD  
197.251.128.0 197.251.255.255 GH  
197.252.0.0 197.252.255.255 SD  
197.253.0.0 197.253.63.255 NG  
197.253.64.0 197.253.127.255 GH  
197.253.128.0 197.253.255.255 MA  
197.254.0.0 197.254.127.255 KE  
197.254.128.0 197.254.191.255 LS  
197.254.192.0 197.254.255.255 SD  
197.255.0.0 197.255.63.255 NG  
197.255.64.0 197.255.127.255 GH  
197.255.144.0 197.255.159.255 ZA  
197.255.160.0 197.255.175.255 NG  
197.255.176.0 197.255.191.255 CG  
197.255.192.0 197.255.207.255 GM  
197.255.208.0 197.255.223.255 NG  
197.255.224.0 197.255.239.255 KM  
197.255.240.0 197.255.243.255 ZA  
197.255.244.0 197.255.247.255 NG  
197.255.248.0 197.255.251.255 GA  
197.255.252.0 197.255.255.255 NG  
