64.34.50.0 64.34.50.255 CA  
64.34.51.0 64.34.51.255 US  
64.34.52.0 64.34.54.255 CA  
64.34.55.0 64.34.61.255 US  
64.34.62.0 64.34.64.255 CA  
64.34.65.0 64.34.65.255 US  
64.34.66.0 64.34.66.255 CA  
64.34.67.0 64.34.69.255 US  
64.34.70.0 64.34.70.255 CA  
64.34.71.0 64.34.71.95 US  
64.34.71.96 64.34.71.127 CA  
64.34.71.128 64.34.71.255 US  
64.34.72.0 64.34.73.255 CA  
64.34.74.0 64.34.74.239 US  
64.34.74.240 64.34.74.247 CA  
64.34.74.248 64.34.75.255 US  
64.34.76.0 64.34.76.255 CA  
64.34.77.0 64.34.77.255 US  
64.34.78.0 64.34.79.255 CA  
64.34.80.0 64.34.95.255 US  
64.34.96.0 64.34.97.127 CA  
64.34.97.128 64.34.97.223 US  
64.34.97.224 64.34.97.255 CA  
64.34.98.0 64.34.99.255 US  
64.34.100.0 64.34.103.255 CA  
64.34.104.0 64.34.105.255 US  
64.34.106.0 64.34.106.255 CA  
64.34.107.0 64.34.109.167 US  
64.34.109.168 64.34.109.175 CA  
64.34.109.176 64.34.109.255 US  
64.34.110.0 64.34.110.63 CA  
64.34.110.64 64.34.110.255 US  
64.34.111.0 64.34.113.255 CA  
64.34.114.0 64.34.116.255 US  
64.34.117.0 64.34.117.255 CA  
64.34.118.0 64.34.119.255 US  
64.34.120.0 64.34.124.255 CA  
64.34.125.0 64.34.128.255 US  
64.34.129.0 64.34.129.255 CA  
64.34.130.0 64.34.130.255 US  
64.34.131.0 64.34.133.255 CA  
64.34.134.0 64.34.135.255 US  
64.34.136.0 64.34.136.255 CA  
64.34.137.0 64.34.137.191 US  
64.34.137.192 64.34.137.199 CA  
64.34.137.200 64.34.137.255 US  
64.34.138.0 64.34.138.255 CA  
64.34.139.0 64.34.141.255 US  
64.34.142.0 64.34.142.255 CA  
64.34.143.0 64.34.143.255 US  
64.34.144.0 64.34.144.255 CA  
64.34.145.0 64.34.145.255 US  
64.34.146.0 64.34.147.255 CA  
64.34.148.0 64.34.149.255 US  
64.34.150.0 64.34.152.255 CA  
64.34.153.0 64.34.154.255 US  
64.34.155.0 64.34.155.255 CA  
64.34.156.0 64.34.220.255 US  
64.34.221.0 64.34.221.255 CA  
64.34.222.0 64.34.222.139 US  
64.34.222.140 64.34.222.143 CA  
64.34.222.144 64.34.226.255 US  
64.34.227.0 64.34.227.255 CA  
64.34.228.0 64.34.229.255 US  
64.34.230.0 64.34.230.255 BZ  
64.34.231.0 64.34.231.255 US  
64.34.232.0 64.34.234.255 CA  
64.34.235.0 64.34.240.255 US  
64.34.241.0 64.34.241.255 CA  
64.34.242.0 64.34.242.255 US  
64.34.243.0 64.34.243.255 CA  
64.34.244.0 64.34.255.191 US  
64.34.255.192 64.34.255.255 IN  
64.35.0.0 64.35.52.255 US  
64.35.53.0 64.35.53.255 DE  
64.35.54.0 64.35.55.255 US  
64.35.56.0 64.35.56.255 IL  
64.35.57.0 64.37.31.255 US  
64.37.32.0 64.37.47.255 BM  
64.37.48.0 64.37.66.255 US  
64.37.67.0 64.37.67.255 CA  
64.37.68.0 64.37.108.255 US  
64.37.109.0 64.37.109.255 CA  
64.37.110.0 64.37.110.255 US  
64.37.111.0 64.37.111.255 IN  
64.37.112.0 64.37.114.255 US  
64.37.115.0 64.37.115.255 CA  
64.37.116.0 64.37.118.255 US  
64.37.119.0 64.37.119.255 CA  
64.37.120.0 64.37.124.255 US  
64.37.125.0 64.37.125.255 AE  
64.37.126.0 64.38.201.255 US  
64.38.202.0 64.38.202.255 NO  
64.38.203.0 64.39.39.255 US  
64.39.40.0 64.39.40.255 DE  
64.39.41.0 64.39.47.255 US  
64.39.48.0 64.39.48.255 DE  
64.39.49.0 64.39.159.255 US  
64.39.160.0 64.39.191.255 CA  
64.39.192.0 64.40.95.255 US  
