155.254.118.0 155.254.119.255 US  
155.254.120.0 155.254.120.255 NI  
155.254.121.0 155.254.121.255 UA  
155.254.122.0 155.254.122.255 US  
155.254.123.0 155.254.123.255 CI  
155.254.124.0 155.254.124.255 US  
155.254.125.0 155.254.125.255 GY  
155.254.126.0 155.254.126.255 DE  
155.254.127.0 155.254.135.255 US  
155.254.136.0 155.254.159.255 CA  
155.254.160.0 155.254.191.255 US  
155.254.192.0 155.254.192.255 SK  
155.254.193.0 155.254.193.255 MC  
155.254.194.0 155.254.194.255 AZ  
155.254.195.0 155.254.195.255 FI  
155.254.196.0 155.254.196.255 CZ  
155.254.197.0 155.254.197.255 UZ  
155.254.198.0 155.254.198.255 BT  
155.254.199.0 155.254.199.255 CN  
155.254.200.0 155.254.200.255 ME  
155.254.201.0 155.254.201.255 YE  
155.254.202.0 155.254.202.255 KH  
155.254.203.0 155.254.203.255 TJ  
155.254.204.0 155.254.204.255 KG  
155.254.205.0 155.254.205.255 IN  
155.254.206.0 155.254.206.255 DK  
155.254.207.0 155.254.207.255 IL  
155.254.208.0 155.254.208.255 PL  
155.254.209.0 155.254.209.255 LA  
155.254.210.0 155.254.210.255 GH  
155.254.211.0 155.254.211.255 BD  
155.254.212.0 155.254.212.255 LI  
155.254.213.0 155.254.213.255 ET  
155.254.214.0 155.254.214.255 SM  
155.254.215.0 155.254.215.255 BH  
155.254.216.0 155.254.216.255 CY  
155.254.217.0 155.254.217.255 NZ  
155.254.218.0 155.254.218.255 PS  
155.254.219.0 155.254.219.255 GI  
155.254.220.0 155.254.220.255 RS  
155.254.221.0 155.254.221.255 HK  
155.254.222.0 155.254.222.255 HR  
155.254.223.0 155.254.223.255 SN  
155.254.224.0 155.254.224.255 MV  
155.254.225.0 155.254.225.255 AF  
155.254.226.0 155.254.226.255 JP  
155.254.227.0 155.254.227.255 CM  
155.254.228.0 155.254.228.255 VA  
155.254.229.0 155.254.229.255 JP  
155.254.230.0 155.254.230.255 TM  
155.254.231.0 155.254.231.255 GE  
155.254.232.0 155.254.232.255 TR  
155.254.233.0 155.254.233.255 TW  
155.254.234.0 155.254.234.255 KW  
155.254.235.0 155.254.235.255 EE  
155.254.236.0 155.254.236.255 CN  
155.254.237.0 155.254.237.255 MA  
155.254.238.0 155.254.238.255 BA  
155.254.239.0 155.254.239.255 IQ  
155.254.240.0 155.254.240.255 NO  
155.254.241.0 155.254.241.255 AU  
155.254.242.0 155.254.242.255 TH  
155.254.243.0 155.254.243.255 VN  
155.254.244.0 155.254.244.255 US  
155.254.245.0 155.254.245.255 RU  
155.254.246.0 155.254.246.255 IN  
155.254.247.0 155.254.247.255 BE  
155.254.248.0 155.254.248.255 IM  
155.254.249.0 155.254.249.255 BN  
155.254.250.0 155.254.250.255 US  
155.254.251.0 155.254.251.255 LT  
155.254.252.0 155.254.252.255 MD  
155.254.253.0 155.254.253.255 SI  
155.254.254.0 155.254.254.255 KE  
155.254.255.0 155.254.255.255 NG  
